titulo;generos
Good Omens;Comédia,Fantasia
The Office;Comédia
Friends;Comédia,Romance
The Big Bang Theory;Comédia,Romance
How I Met Your Mother;Comédia,Romance
Brooklyn Nine-Nine;Comédia,Policial
South Park;Animação,Comédia
Arcane;Animação,Ação,Aventura,Drama,Fantasia,Ficção científica
Os Simpsons;Animação,Comédia
What If;Animação,Ação,Aventura,Ficção científica
Death Note;Animação,Policial,Drama,Fantasia,Mistério,Suspense
Bob Esponja;Animação,Comédia,Família,Fantasia
The Walking Dead;Drama,Terror,Suspense
Stranger Things;Drama,Fantasia,Terror,Mistério,Ficção científica,Suspense
American Horror Story;Drama,Terror,Suspense
Hannibal;Policial,Drama,Terror,Mistério,Suspense
Grimm;Policial,Drama,Fantasia,Terror,Mistério
NCIS;Ação,Policial,Drama,Mistério,Suspense
Criminal Minds;Policial,Drama,Mistério,Suspense
Law & Order SVU;Policial,Drama,Mistério,Suspense
Sherlock;Policial,Drama,Mistério,Suspense
Castle;Comédia,Policial,Drama,Mistério,Romance
Demolidor;Ação,Policial,Drama,Fantasia,Ficção científica,Suspense
Bones;Comédia,Policial,Drama,Mistério,Romance
CSI;Policial,Drama,Mistério,Suspense
CSI NY;Ação,Policial,Drama,Mistério,Suspense
Euphoria;Drama
13 Reasons Why;Drama,Mistério,Suspense
Succession;Drama
Greys Anatomy;Drama,Romance
This Is Us;Comédia,Drama,Romance
Suits;Comédia,Drama
House;Drama,Mistério
The Morning Show;Drama
The Witcher;Ação,Aventura,Drama,Fantasia,Mistério
Once Upon A Time;Aventura,Fantasia,Romance
H2O Meninas Sereias;Drama,Família,Fantasia
Os Feiticeiros de Waverly Place;Aventura,Comédia,Drama,Família,Fantasia
Game of Thrones;Ação,Aventura,Drama,Fantasia
Flash;Ação,Aventura,Drama,Ficção científica
La Casa de Papel;Ação,Policial,Drama,Mistério,Suspense
SEAL Team;Ação,Drama
Jack Ryan;Ação,Drama,Suspense
Legends of Tomorrow;Ação,Aventura,Drama,Ficção científica
Arquivo X;Policial,Drama,Mistério,Ficção científica,Suspense
Doctor Who;Aventura,Drama,Ficção científica
Mandalorian;Ação,Aventura,Fantasia,Ficção científica
Black Mirror;Drama,Ficção científica,Suspense
The 100;Drama,Mistério,Ficção científica
Star Trek;Ação,Aventura,Ficção científica
