titulo;generos
Good Omens;Fantasia
The Office;Comedia
Friends;Comedia
The Big Bang Theory;Comedia
How I Met Your Mother;Comedia
Brooklyn Nine-Nine;Comedia
South Park;Animacao
Arcane;Animacao
Os Simpsons;Animacao
What If;Animacao
Death Note;Animacao
Bob Esponja;Animacao
The Walking Dead;Terror
Stranger Things;Terror
American Horror Story;Terror
Hannibal;Terror
Grimm;Terror
NCIS;Policial
Criminal Minds;Policial
Law & Order SVU;Policial
Sherlock;Policial
Castle;Policial
Demolidor;Acao
Bones;Policial
CSI;Policial
CSI NY;Policial
Euphoria;Drama
13 Reasons Why;Drama
Succession;Drama
Greys Anatomy;Drama
This Is Us;Drama
Suits;Drama
House;Drama
The Morning Show;Drama
The Witcher;Fantasia
Once Upon A Time;Fantasia
H2O Meninas Sereias;Fantasia
Os Feiticeiros de Waverly Place;Fantasia
Game of Thrones;Fantasia
Flash;Acao
La Casa de Papel;Acao
SEAL Team;Acao
Jack Ryan;Acao
Legends of Tomorrow;Acao
Arquivo X;Ficcao cientifica
Doctor Who;Ficcao cientifica
Mandalorian;Ficcao cientifica
Black Mirror;Ficcao cientifica
The 100;Ficcao cientifica
Star Trek;Ficcao cientifica
